field,focalMm,focalRatio,limitMag,defocusSteps,aberr,arm,iters,starsQueried,stampJobs,distinctKernels,kernelCacheBytes,maxKernelRadiusPx,orientationBins,defocusQuantumUm,totalMsMedian,totalMsMin,totalMsMax,queryMs,jobBuildMs,kernelGenMs,stampMs,developMs,kernelGenMsPerKernel,skyPlusDarkElectronsPerPx,config,processorCount
dense-oversampled,2000,8.00,17.0,0,A0,off,5,4750,1651,1,57920,14,1,15.04,360.5,348.2,435.2,43.9,45.1,0.8,12.8,289.9,0.76,4.68,Release,48
dense-oversampled,2000,8.00,17.0,0,A0,on-zero,5,4750,1651,1,57920,14,1,15.04,361.5,351.8,402.4,44.3,45.5,0.7,13.6,287.1,0.71,4.68,Release,48
dense-oversampled,2000,8.00,17.0,0,A0,on,5,4750,1651,1,57920,14,1,15.04,359.6,352.4,392.7,45.5,46.7,0.7,13.3,283.9,0.73,4.68,Release,48
dense-oversampled,2000,8.00,17.0,0,A0,on-strong,5,4750,1651,1,57920,14,1,15.04,366.2,354.2,394.9,46.4,47.9,0.8,13.4,295.0,0.76,4.68,Release,48
dense-oversampled,2000,8.00,17.0,0,A1,off,5,4750,1653,5,320320,15,1,15.04,365.9,354.5,397.2,44.5,48.6,3.3,13.7,292.2,0.66,4.68,Release,48
dense-oversampled,2000,8.00,17.0,0,A1,on-zero,5,4750,1653,5,320320,15,1,15.04,362.3,356.8,389.0,44.3,48.3,2.9,13.6,286.0,0.58,4.68,Release,48
dense-oversampled,2000,8.00,17.0,0,A1,on,5,4750,1654,67,4739776,16,13,15.04,369.6,369.2,449.6,46.5,59.0,9.8,14.1,291.0,0.15,4.68,Release,48
dense-oversampled,2000,8.00,17.0,0,A1,on-strong,5,4750,1655,111,8003008,16,18,15.04,379.9,372.3,438.5,46.4,62.7,14.9,14.5,290.3,0.13,4.68,Release,48
dense-oversampled,2000,8.00,17.0,0,A2,off,5,4750,1654,7,467904,16,1,15.04,363.3,353.0,419.3,44.2,48.1,3.3,13.7,284.8,0.47,4.68,Release,48
dense-oversampled,2000,8.00,17.0,0,A2,on-zero,5,4750,1654,7,467904,16,1,15.04,356.8,351.5,385.4,44.0,47.4,3.2,13.0,284.4,0.45,4.68,Release,48
